"filename", "language", "JavaScript", "CSS", "YAML", "Vue", "XML", "SCSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"/Users/chengchengkai/project-code/DataElit/datax-web-ui/src/views/datax/json-build-batch/reader.vue", "Vue", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 2, 28
"/Users/chengchengkai/project-code/DataElit/datax-web-ui/src/views/datax/json-build-batch/reader/tableReader.vue", "Vue", 0, 0, 0, 160, 0, 0, 0, 0, 0, 8, 3, 171
"/Users/chengchengkai/project-code/DataElit/datax-web-ui/src/views/datax/json-build-batch/writer.vue", "Vue", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 3, 39
"/Users/chengchengkai/project-code/DataElit/datax-web-ui/src/views/datax/json-build-batch/writer/tableWriter.vue", "Vue", 0, 0, 0, 173, 0, 0, 0, 0, 0, 7, 2, 182
"/Users/chengchengkai/project-code/DataElit/datax-web-ui/src/views/datax/json-build/busReader.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 10
"/Users/chengchengkai/project-code/DataElit/datax-web-ui/src/views/datax/json-build/busWriter.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 10
"/Users/chengchengkai/project-code/DataElit/datax-web-ui/src/views/datax/json-build/components/fieldMapper.vue", "Vue", 0, 0, 0, 157, 0, 0, 0, 0, 0, 0, 3, 160
"/Users/chengchengkai/project-code/DataElit/datax-web-ui/src/views/datax/json-build/create.vue", "Vue", 0, 0, 0, 487, 0, 0, 0, 0, 0, 1, 19, 507
"/Users/chengchengkai/project-code/DataElit/datax-web-ui/src/views/datax/json-build/index.vue", "Vue", 0, 0, 0, 295, 0, 0, 0, 0, 0, 22, 9, 326
"/Users/chengchengkai/project-code/DataElit/datax-web-ui/src/views/datax/json-build/mapper.vue", "Vue", 0, 0, 0, 44, 0, 0, 0, 0, 0, 4, 1, 49
"/Users/chengchengkai/project-code/DataElit/datax-web-ui/src/views/datax/json-build/reader.vue", "Vue", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 2, 42
"/Users/chengchengkai/project-code/DataElit/datax-web-ui/src/views/datax/json-build/reader/HBaseReader.vue", "Vue", 0, 0, 0, 193, 0, 0, 0, 0, 0, 8, 3, 204
"/Users/chengchengkai/project-code/DataElit/datax-web-ui/src/views/datax/json-build/reader/HiveReader.vue", "Vue", 0, 0, 0, 196, 0, 0, 0, 0, 0, 8, 3, 207
